clu_41642 ENSG00000227232.5
clu_41900 ENSG00000116198.12
clu_41899 ENSG00000116198.12
clu_41897 ENSG00000116198.12
clu_41890 ENSG00000116198.12
clu_41895 ENSG00000116198.12
clu_41893 ENSG00000116198.12
clu_41892 ENSG00000116198.12
clu_41902 ENSG00000169598.15
clu_41901 ENSG00000169598.15
clu_41903 ENSG00000198912.10
clu_41904 ENSG00000198912.10
clu_41923 ENSG00000069424.14
clu_41922 ENSG00000069424.14
clu_41921 ENSG00000069424.14
clu_41910 ENSG00000131697.17
clu_41909 ENSG00000131697.17
clu_41907 ENSG00000131697.17
clu_41920 ENSG00000131697.17
clu_41919 ENSG00000131697.17
clu_41918 ENSG00000131697.17
clu_41912 ENSG00000131697.17
clu_41915 ENSG00000131697.17
clu_41913 ENSG00000131697.17
clu_41931 ENSG00000158286.12
clu_41933 ENSG00000158286.12
clu_41932 ENSG00000158286.12
clu_41930 ENSG00000158286.12
clu_41928 ENSG00000158286.12
clu_41926 ENSG00000116237.15
clu_41936 ENSG00000097021.19
clu_41939 ENSG00000215788.9
clu_41943 ENSG00000171680.21
clu_41945 ENSG00000171680.21
clu_41946 ENSG00000171680.21
clu_41948 ENSG00000162408.10
clu_41949 ENSG00000162408.10
clu_41954 ENSG00000204859.12
clu_41953 ENSG00000204859.12
clu_41951 ENSG00000204859.12
clu_41952 ENSG00000204859.12
clu_41956 ENSG00000116273.5
clu_41958 ENSG00000041988.15
clu_41957 ENSG00000041988.15
clu_41960 ENSG00000007923.15
clu_41961 ENSG00000007923.15
clu_41959 ENSG00000007923.15
clu_41963 ENSG00000171735.18
clu_41962 ENSG00000171735.18
clu_41966 ENSG00000049245.12
clu_41972 ENSG00000049246.14
clu_41970 ENSG00000049246.14
clu_41967 ENSG00000049246.14
clu_41974 ENSG00000116288.12
clu_41979 ENSG00000116285.12
clu_41978 ENSG00000116285.12
clu_41980 ENSG00000162426.14
clu_41989 ENSG00000142599.17
clu_41993 ENSG00000142599.17
clu_41991 ENSG00000142599.17
clu_41990 ENSG00000142599.17
clu_41983 ENSG00000142599.17
clu_41987 ENSG00000142599.17
clu_41985 ENSG00000142599.17
clu_41984 ENSG00000142599.17
clu_41982 ENSG00000142599.17
clu_41995 ENSG00000180758.11
clu_41996 ENSG00000180758.11
clu_41999 ENSG00000234546.3
clu_41996 ENSG00000228526.6
clu_42002 ENSG00000049239.12
clu_42003 ENSG00000049239.12
clu_42001 ENSG00000049239.12
clu_42004 ENSG00000171621.13
clu_42006 ENSG00000171612.6
clu_42007 ENSG00000171612.6
clu_42009 ENSG00000188807.12
clu_42017 ENSG00000171608.15
clu_42010 ENSG00000171608.15
clu_42011 ENSG00000171608.15
clu_42014 ENSG00000171608.15
clu_42015 ENSG00000171608.15
clu_42018 ENSG00000171608.15
clu_42019 ENSG00000171608.15
clu_42012 ENSG00000231789.2
clu_42023 ENSG00000171603.16
clu_42025 ENSG00000171603.16
clu_42021 ENSG00000171603.16
clu_42022 ENSG00000171603.16
clu_42024 ENSG00000171603.16
clu_42025 ENSG00000178585.14
clu_42026 ENSG00000178585.14
clu_42030 ENSG00000228150.1
clu_42029 ENSG00000162441.11
clu_42028 ENSG00000162441.11
clu_42027 ENSG00000162441.11
clu_42032 ENSG00000173614.13
clu_42031 ENSG00000173614.13
clu_42030 ENSG00000173614.13
clu_42037 ENSG00000130939.18
clu_42040 ENSG00000130939.18
clu_42039 ENSG00000130939.18
clu_42038 ENSG00000130939.18
clu_42033 ENSG00000130939.18
clu_42035 ENSG00000130939.18
clu_42034 ENSG00000130939.18
clu_42036 ENSG00000130939.18
clu_42047 ENSG00000054523.17
clu_42046 ENSG00000054523.17
clu_42045 ENSG00000054523.17
clu_42043 ENSG00000054523.17
clu_42042 ENSG00000054523.17
clu_42041 ENSG00000054523.17
clu_42044 ENSG00000054523.17
clu_42048 ENSG00000142657.20
clu_42049 ENSG00000175279.21
clu_42049 ENSG00000241563.3
clu_42050 ENSG00000160049.11
clu_42051 ENSG00000160049.11
clu_42054 ENSG00000142655.12
clu_42053 ENSG00000142655.12
clu_42057 ENSG00000120948.16
clu_42061 ENSG00000116649.9
clu_42063 ENSG00000116649.9
clu_42066 ENSG00000171824.13
clu_42065 ENSG00000171824.13
clu_42076 ENSG00000198793.12
clu_42082 ENSG00000198793.12
clu_42081 ENSG00000198793.12
clu_42080 ENSG00000198793.12
clu_42079 ENSG00000198793.12
clu_42078 ENSG00000198793.12
clu_42068 ENSG00000198793.12
clu_42075 ENSG00000198793.12
clu_42074 ENSG00000198793.12
clu_42073 ENSG00000198793.12
clu_42071 ENSG00000198793.12
clu_42070 ENSG00000198793.12
clu_42069 ENSG00000198793.12
clu_42077 ENSG00000198793.12
clu_42083 ENSG00000120942.13
clu_42084 ENSG00000132879.13
clu_42085 ENSG00000132879.13
clu_42086 ENSG00000132879.13
clu_42090 ENSG00000116663.10
clu_42093 ENSG00000116670.14
clu_42092 ENSG00000116670.14
clu_42094 ENSG00000177674.15
clu_42095 ENSG00000177674.15
clu_42103 ENSG00000177000.10
clu_42102 ENSG00000177000.10
clu_42100 ENSG00000177000.10
clu_42099 ENSG00000177000.10
clu_42097 ENSG00000177000.10
clu_42111 ENSG00000011021.21
clu_42115 ENSG00000011021.21
clu_42116 ENSG00000011021.21
clu_42114 ENSG00000011021.21
clu_42112 ENSG00000011021.21
clu_42108 ENSG00000011021.21
clu_42105 ENSG00000011021.21
clu_42106 ENSG00000011021.21
clu_42110 ENSG00000011021.21
clu_42109 ENSG00000011021.21
clu_42119 ENSG00000116685.15
clu_42121 ENSG00000116685.15
clu_42123 ENSG00000083444.16
clu_42122 ENSG00000083444.16
clu_42124 ENSG00000116688.16
clu_42127 ENSG00000116691.10
clu_42128 ENSG00000116691.10
clu_42131 ENSG00000028137.18
clu_42132 ENSG00000028137.18
clu_42130 ENSG00000028137.18
clu_42129 ENSG00000028137.18
clu_42143 ENSG00000048707.13
clu_42148 ENSG00000048707.13
clu_42147 ENSG00000048707.13
clu_42146 ENSG00000048707.13
clu_42144 ENSG00000048707.13
clu_42142 ENSG00000048707.13
clu_42139 ENSG00000048707.13
clu_42135 ENSG00000048707.13
clu_42133 ENSG00000048707.13
clu_42149 ENSG00000162496.8
clu_42150 ENSG00000162496.8
clu_42154 ENSG00000162493.16
clu_42152 ENSG00000162493.16
clu_42153 ENSG00000162493.16
clu_42156 ENSG00000116731.22
clu_42157 ENSG00000116731.22
clu_42155 ENSG00000116731.22
clu_42158 ENSG00000189337.16
clu_42159 ENSG00000189337.16
clu_42162 ENSG00000189337.16
clu_42166 ENSG00000142621.19
clu_42172 ENSG00000142634.12
clu_42173 ENSG00000162438.11
clu_42177 ENSG00000132906.17
clu_42176 ENSG00000132906.17
clu_42179 ENSG00000116138.12
clu_42178 ENSG00000116138.12
clu_42183 ENSG00000116771.5
clu_42184 ENSG00000197312.11
clu_42186 ENSG00000197312.11
clu_42185 ENSG00000197312.11
clu_42191 ENSG00000116786.11
clu_42190 ENSG00000116786.11
clu_42189 ENSG00000116786.11
clu_42188 ENSG00000116786.11
clu_42187 ENSG00000116786.11
clu_42199 ENSG00000162458.12
clu_42198 ENSG00000162458.12
clu_42200 ENSG00000162458.12
clu_42197 ENSG00000162458.12
clu_42204 ENSG00000065526.10
clu_42208 ENSG00000065526.10
clu_42209 ENSG00000065526.10
clu_42214 ENSG00000116809.11
clu_42212 ENSG00000116809.11
clu_42215 ENSG00000173641.17
clu_42216 ENSG00000173641.17
clu_42218 ENSG00000142627.12
clu_42219 ENSG00000142627.12
clu_42220 ENSG00000142627.12
clu_42224 ENSG00000142632.16
clu_42222 ENSG00000142632.16
clu_42223 ENSG00000142632.16
clu_42227 ENSG00000132881.11
clu_42207 ENSG00000037637.10
clu_42206 ENSG00000037637.10
clu_42205 ENSG00000037637.10
clu_42228 ENSG00000037637.10
clu_42229 ENSG00000055070.16
clu_42230 ENSG00000157191.19
clu_42231 ENSG00000157191.19
clu_42241 ENSG00000080947.14
clu_42237 ENSG00000080947.14
clu_42236 ENSG00000080947.14
clu_42235 ENSG00000080947.14
clu_42239 ENSG00000219481.10
clu_42238 ENSG00000219481.10
clu_42245 ENSG00000219481.10
clu_42246 ENSG00000186301.8
clu_42247 ENSG00000186301.8
clu_42239 ENSG00000215908.10
clu_42242 ENSG00000215908.10
clu_42240 ENSG00000215908.10
clu_42258 ENSG00000238142.1
clu_42271 ENSG00000058453.16
clu_42269 ENSG00000058453.16
clu_42268 ENSG00000058453.16
clu_42267 ENSG00000058453.16
clu_42263 ENSG00000058453.16
clu_42259 ENSG00000058453.16
clu_42261 ENSG00000058453.16
clu_42260 ENSG00000058453.16
clu_42275 ENSG00000117122.13
clu_42272 ENSG00000117122.13
clu_42273 ENSG00000117122.13
clu_42283 ENSG00000159363.17
clu_42282 ENSG00000159363.17
clu_42281 ENSG00000159363.17
clu_42280 ENSG00000159363.17
clu_42279 ENSG00000159363.17
clu_42277 ENSG00000159363.17
clu_42276 ENSG00000159363.17
clu_42290 ENSG00000179051.13
clu_42301 ENSG00000074964.16
clu_42302 ENSG00000074964.16
clu_42300 ENSG00000074964.16
clu_42303 ENSG00000074964.16
clu_42298 ENSG00000074964.16
clu_42299 ENSG00000074964.16
clu_42294 ENSG00000074964.16
clu_42295 ENSG00000074964.16
clu_42297 ENSG00000074964.16
clu_42306 ENSG00000159423.16
clu_42305 ENSG00000159423.16
clu_42304 ENSG00000159423.16
clu_42307 ENSG00000169991.10
clu_42326 ENSG00000127481.14
clu_42323 ENSG00000127481.14
clu_42325 ENSG00000127481.14
clu_42327 ENSG00000127481.14
clu_42336 ENSG00000127481.14
clu_42328 ENSG00000127481.14
clu_42329 ENSG00000127481.14
clu_42330 ENSG00000127481.14
clu_42333 ENSG00000127481.14
clu_42335 ENSG00000127481.14
clu_42322 ENSG00000127481.14
clu_42337 ENSG00000127481.14
clu_42321 ENSG00000127481.14
clu_42318 ENSG00000127481.14
clu_42308 ENSG00000127481.14
clu_42309 ENSG00000127481.14
clu_42310 ENSG00000127481.14
clu_42311 ENSG00000127481.14
clu_42313 ENSG00000127481.14
clu_42314 ENSG00000127481.14
clu_42315 ENSG00000127481.14
clu_42316 ENSG00000127481.14
clu_42319 ENSG00000127481.14
clu_42347 ENSG00000127463.13
clu_42349 ENSG00000127463.13
clu_42348 ENSG00000127463.13
clu_42346 ENSG00000127463.13
clu_42345 ENSG00000127463.13
clu_42341 ENSG00000127463.13
clu_42342 ENSG00000127463.13
clu_42344 ENSG00000053372.4
clu_42351 ENSG00000053371.12
clu_42355 ENSG00000040487.12
clu_42354 ENSG00000040487.12
clu_42353 ENSG00000040487.12
clu_42352 ENSG00000040487.12
clu_42356 ENSG00000077549.17
clu_42358 ENSG00000173436.13
clu_42364 ENSG00000162542.13
clu_42362 ENSG00000162542.13
clu_42361 ENSG00000162542.13
clu_42360 ENSG00000162542.13
clu_42359 ENSG00000162542.13
clu_42363 ENSG00000162542.13
clu_42368 ENSG00000169914.5
clu_42367 ENSG00000169914.5
clu_42366 ENSG00000169914.5
clu_42365 ENSG00000169914.5
clu_42373 ENSG00000162545.5
clu_42374 ENSG00000090432.6
clu_42375 ENSG00000158825.5
clu_42382 ENSG00000189410.11
clu_42386 ENSG00000127483.17
clu_42384 ENSG00000127483.17
clu_42395 ENSG00000075151.20
clu_42394 ENSG00000075151.20
clu_42393 ENSG00000075151.20
clu_42392 ENSG00000075151.20
clu_42391 ENSG00000075151.20
clu_42387 ENSG00000075151.20
clu_42388 ENSG00000075151.20
clu_42389 ENSG00000075151.20
clu_42390 ENSG00000075151.20
clu_42396 ENSG00000117298.14
clu_42408 ENSG00000142794.18
clu_42405 ENSG00000142794.18
clu_42407 ENSG00000142794.18
clu_42406 ENSG00000142794.18
clu_42404 ENSG00000142794.18
clu_42403 ENSG00000142794.18
clu_42409 ENSG00000162551.13
clu_42410 ENSG00000162551.13
clu_42411 ENSG00000162551.13
clu_42418 ENSG00000090686.15
clu_42417 ENSG00000090686.15
clu_42416 ENSG00000090686.15
clu_42415 ENSG00000090686.15
clu_42429 ENSG00000142798.17
clu_42428 ENSG00000142798.17
clu_42427 ENSG00000142798.17
clu_42426 ENSG00000142798.17
clu_42425 ENSG00000142798.17
clu_42423 ENSG00000142798.17
clu_42421 ENSG00000142798.17
clu_42434 ENSG00000218510.6
clu_42435 ENSG00000070831.15
clu_42443 ENSG00000184677.16
clu_42442 ENSG00000184677.16
clu_42441 ENSG00000184677.16
clu_42440 ENSG00000184677.16
clu_42438 ENSG00000184677.16
clu_42439 ENSG00000184677.16
clu_42437 ENSG00000184677.16
clu_42446 ENSG00000133216.16
clu_42450 ENSG00000133216.16
clu_42449 ENSG00000133216.16
clu_42452 ENSG00000133216.16
clu_42456 ENSG00000004487.15
clu_42454 ENSG00000004487.15
clu_42453 ENSG00000004487.15
clu_42457 ENSG00000169641.13
clu_42458 ENSG00000169641.13
clu_42461 ENSG00000125944.18
clu_42460 ENSG00000125944.18
clu_42459 ENSG00000125944.18
clu_42462 ENSG00000125945.14
clu_42463 ENSG00000249087.6
clu_42465 ENSG00000204219.9
clu_42466 ENSG00000204219.9
clu_42467 ENSG00000204219.9
clu_42477 ENSG00000088280.18
clu_42476 ENSG00000088280.18
clu_42475 ENSG00000088280.18
clu_42474 ENSG00000088280.18
clu_42473 ENSG00000088280.18
clu_42470 ENSG00000088280.18
clu_42469 ENSG00000088280.18
clu_42468 ENSG00000088280.18
clu_42480 ENSG00000007968.6
clu_42483 ENSG00000142676.12
clu_42486 ENSG00000011007.12
clu_42487 ENSG00000236810.5
clu_42485 ENSG00000236810.5
clu_42488 ENSG00000057757.9
clu_42489 ENSG00000057757.9
clu_42492 ENSG00000011009.10
clu_42491 ENSG00000011009.10
clu_42490 ENSG00000011009.10
clu_42496 ENSG00000117308.14
clu_42494 ENSG00000117308.14
clu_42498 ENSG00000117305.14
clu_42499 ENSG00000117305.14
clu_42501 ENSG00000189266.11
clu_42503 ENSG00000188529.14
clu_42502 ENSG00000188529.14
clu_42504 ENSG00000188529.14
clu_42506 ENSG00000001460.17
clu_42507 ENSG00000001460.17
clu_42509 ENSG00000001460.17
clu_42510 ENSG00000001460.17
clu_42508 ENSG00000001460.17
clu_42513 ENSG00000001461.16
clu_42512 ENSG00000001461.16
clu_42511 ENSG00000001461.16
clu_42515 ENSG00000117602.11
clu_42520 ENSG00000133226.16
clu_42521 ENSG00000133226.16
clu_42522 ENSG00000133226.16
clu_42523 ENSG00000133226.16
clu_42524 ENSG00000133226.16
clu_42519 ENSG00000133226.16
clu_42516 ENSG00000133226.16
clu_42517 ENSG00000133226.16
clu_42518 ENSG00000133226.16
clu_42525 ENSG00000020633.18
clu_42527 ENSG00000117614.9
clu_42531 ENSG00000117616.17
clu_42532 ENSG00000183726.10
clu_42533 ENSG00000183726.10
clu_42534 ENSG00000183726.10
clu_42535 ENSG00000188672.17
clu_42537 ENSG00000204178.9
clu_42538 ENSG00000204178.9
clu_42541 ENSG00000157978.11
clu_42539 ENSG00000157978.11
clu_42540 ENSG00000157978.11
clu_42541 ENSG00000225643.1
clu_42545 ENSG00000117643.14
clu_42548 ENSG00000162430.16
clu_42547 ENSG00000162430.16
clu_42546 ENSG00000162430.16
clu_42552 ENSG00000117640.17
clu_42550 ENSG00000117640.17
clu_42551 ENSG00000117640.17
clu_42553 ENSG00000182749.5
clu_42554 ENSG00000158006.13
clu_42555 ENSG00000158006.13
clu_42557 ENSG00000175087.9
clu_42560 ENSG00000130695.14
clu_42561 ENSG00000130695.14
clu_42562 ENSG00000130695.14
clu_42563 ENSG00000130695.14
clu_42566 ENSG00000130695.14
clu_42568 ENSG00000158062.20
clu_42569 ENSG00000158062.20
clu_42565 ENSG00000158062.20
clu_42564 ENSG00000158062.20
clu_42573 ENSG00000117682.16
clu_42572 ENSG00000117682.16
clu_42571 ENSG00000117682.16
clu_42577 ENSG00000117676.13
clu_42576 ENSG00000117676.13
clu_42575 ENSG00000117676.13
clu_42578 ENSG00000117713.18
clu_42579 ENSG00000117713.18
clu_42580 ENSG00000117713.18
clu_42581 ENSG00000117713.18
clu_42582 ENSG00000117713.18
clu_42583 ENSG00000117713.18
clu_42584 ENSG00000117713.18
clu_42585 ENSG00000060642.10
clu_42587 ENSG00000060642.10
clu_42588 ENSG00000204160.11
clu_42590 ENSG00000204160.11
clu_42592 ENSG00000142751.14
clu_42593 ENSG00000142751.14
clu_42594 ENSG00000198746.12
clu_42595 ENSG00000198746.12
clu_42596 ENSG00000198746.12
clu_42598 ENSG00000090273.13
clu_42597 ENSG00000090273.13
clu_42599 ENSG00000253368.3
clu_42603 ENSG00000090020.10
clu_42604 ENSG00000090020.10
clu_42607 ENSG00000142784.15
clu_42605 ENSG00000142784.15
clu_42606 ENSG00000142784.15
clu_42611 ENSG00000186501.14
clu_42609 ENSG00000186501.14
clu_42608 ENSG00000186501.14
clu_42622 ENSG00000142733.14
clu_42619 ENSG00000142733.14
clu_42615 ENSG00000142733.14
clu_42614 ENSG00000142733.14
clu_42613 ENSG00000142733.14
clu_42610 ENSG00000142733.14
clu_42623 ENSG00000158195.10
clu_42627 ENSG00000126705.13
clu_42626 ENSG00000126705.13
clu_42625 ENSG00000126705.13
clu_42629 ENSG00000126709.14
clu_42633 ENSG00000009780.15
clu_42631 ENSG00000009780.15
clu_42630 ENSG00000009780.15
clu_42634 ENSG00000117758.13
clu_42636 ENSG00000117751.17
clu_42635 ENSG00000117751.17
clu_42634 ENSG00000117751.17
clu_42638 ENSG00000130775.15
clu_42639 ENSG00000117748.9
clu_42640 ENSG00000158156.7
clu_42647 ENSG00000158161.15
clu_42646 ENSG00000158161.15
clu_42645 ENSG00000158161.15
clu_42644 ENSG00000158161.15
clu_42641 ENSG00000158161.15
clu_42649 ENSG00000126698.10
clu_42650 ENSG00000126698.10
clu_42653 ENSG00000130766.4
clu_42654 ENSG00000130766.4
clu_42656 ENSG00000130772.13
clu_42657 ENSG00000204138.12
clu_42658 ENSG00000204138.12
clu_42661 ENSG00000180198.15
clu_42662 ENSG00000180198.15
clu_42666 ENSG00000180198.15
clu_42660 ENSG00000180198.15
clu_42659 ENSG00000180198.15
clu_42669 ENSG00000180098.9
clu_42671 ENSG00000197989.13
clu_42670 ENSG00000197989.13
clu_42674 ENSG00000120656.11
clu_42679 ENSG00000162419.12
clu_42678 ENSG00000162419.12
clu_42677 ENSG00000162419.12
clu_42676 ENSG00000162419.12
clu_42680 ENSG00000198492.15
clu_42684 ENSG00000159023.19
clu_42681 ENSG00000159023.19
clu_42683 ENSG00000159023.19
clu_42685 ENSG00000253304.1
clu_42689 ENSG00000116350.16
clu_42690 ENSG00000116350.16
clu_42688 ENSG00000116350.16
clu_42687 ENSG00000116350.16
clu_42695 ENSG00000116353.15
clu_42694 ENSG00000116353.15
clu_42693 ENSG00000116353.15
clu_42692 ENSG00000116353.15
clu_42704 ENSG00000060656.19
clu_42703 ENSG00000060656.19
clu_42702 ENSG00000060656.19
clu_42699 ENSG00000060656.19
clu_42700 ENSG00000060656.19
clu_42686 ENSG00000060656.19
clu_42698 ENSG00000060656.19
clu_42697 ENSG00000060656.19
clu_42696 ENSG00000060656.19
clu_42715 ENSG00000134644.15
clu_42718 ENSG00000134644.15
clu_42716 ENSG00000134644.15
clu_42717 ENSG00000134644.15
clu_42714 ENSG00000134644.15
clu_42709 ENSG00000134644.15
clu_42710 ENSG00000134644.15
clu_42711 ENSG00000134644.15
clu_42712 ENSG00000134644.15
clu_42713 ENSG00000134644.15
clu_42719 ENSG00000060688.12
clu_42721 ENSG00000121766.15
clu_42722 ENSG00000121766.15
clu_42720 ENSG00000121766.15
clu_42723 ENSG00000121769.7
clu_42724 ENSG00000121769.7
clu_42726 ENSG00000168528.11
clu_42725 ENSG00000168528.11
clu_42727 ENSG00000142910.15
clu_42730 ENSG00000162517.12
clu_42731 ENSG00000162517.12
clu_42735 ENSG00000084636.17
clu_42738 ENSG00000084636.17
clu_42740 ENSG00000084636.17
clu_42739 ENSG00000084636.17
clu_42737 ENSG00000084636.17
clu_42734 ENSG00000084636.17
clu_42733 ENSG00000084636.17
clu_42732 ENSG00000084636.17
clu_42745 ENSG00000121753.12
clu_42746 ENSG00000121753.12
clu_42741 ENSG00000121753.12
clu_42751 ENSG00000134668.12
clu_42750 ENSG00000134668.12
clu_42749 ENSG00000134668.12
clu_42748 ENSG00000134668.12
clu_42753 ENSG00000184007.18
clu_42754 ENSG00000121774.17
clu_42756 ENSG00000121775.17
clu_42755 ENSG00000121775.17
clu_42757 ENSG00000025800.13
clu_42758 ENSG00000025800.13
clu_42759 ENSG00000025800.13
clu_42761 ENSG00000084652.15
clu_42760 ENSG00000084652.15
clu_42762 ENSG00000160050.14
clu_42765 ENSG00000160050.14
clu_42768 ENSG00000224066.1
clu_42773 ENSG00000084623.11
clu_42771 ENSG00000160055.19
clu_42770 ENSG00000160055.19
clu_42768 ENSG00000160055.19
clu_42775 ENSG00000220785.7
clu_42772 ENSG00000220785.7
clu_42778 ENSG00000116478.11
clu_42779 ENSG00000116478.11
clu_42776 ENSG00000116478.11
clu_42780 ENSG00000175130.6
clu_42783 ENSG00000160058.18
clu_42784 ENSG00000160058.18
clu_42786 ENSG00000160062.14
clu_42785 ENSG00000160062.14
clu_42788 ENSG00000176261.15
clu_42790 ENSG00000162521.18
clu_42789 ENSG00000162521.18
clu_42792 ENSG00000162520.14
clu_42791 ENSG00000162520.14
clu_42792 ENSG00000224409.1
clu_42799 ENSG00000116497.17
clu_42798 ENSG00000116497.17
clu_42797 ENSG00000116497.17
clu_42795 ENSG00000134684.10
clu_42794 ENSG00000134684.10
clu_42801 ENSG00000121900.18
clu_42803 ENSG00000121900.18
clu_42805 ENSG00000116514.16
clu_42804 ENSG00000116514.16
clu_42808 ENSG00000004455.16
clu_42807 ENSG00000004455.16
clu_42809 ENSG00000004455.16
clu_42813 ENSG00000142920.16
clu_42811 ENSG00000142920.16
clu_42814 ENSG00000116525.13
clu_42819 ENSG00000160094.14
clu_42818 ENSG00000160094.14
clu_42820 ENSG00000160094.14
clu_42817 ENSG00000160094.14
clu_42824 ENSG00000134686.18
clu_42827 ENSG00000134686.18
clu_42825 ENSG00000134686.18
clu_42822 ENSG00000134686.18
clu_42823 ENSG00000134686.18
clu_42821 ENSG00000134686.18
clu_42831 ENSG00000121903.14
